A_Sánchez (ARS), 4 mom
Michael_Lang (LIB), 0 mom
Fabin_Schar (LIB), 0 mom
P_Jansson (LIB), 0 mom
Timm_Klose (LIB), 0 mom
F_Helander (LIB), 0 mom
Paul_Dummett (LIB), 0 mom
Jack_Wilshere (LIB), 0 mom
E_Forsberg (LIB), 0 mom
Nigel_de_Jong (LIB), 0 mom
S_Tibbling (LIB), 0 mom
A_Fransson (LIB), 0 mom
Marcus_Rohdén (LIB), 0 mom
Tom_Bradshaw (LIB), 0 mom
F_Escales (OMA), 0 mom
Ivan_Strinic (OPO), 0 mom
Michel_Vorm (TOT), 0 mom
K_Asamoah (JUV), 0 mom
Loïc_Perrin (LIB), 0 mom
G_Pezzella (LIB), 0 mom
Hrvoje_Milic (LIB), 0 mom
M_Suttner (LIB), 0 mom
M_Arnautovic (LIB), 0 mom
F_Anderson (LIB), 0 mom
R_Pereyra (LIB), 0 mom
A_Halilovic (LIB), 0 mom
Konrad_Laimer (LIB), 0 mom
Joãozinho (LIB), 0 mom
Matin_Harnik (LIB), 0 mom
Stekelenburg (EVE), 0 mom
Gonzalo_Rguez (LIB), 0 mom
N_Lombaerts (LIB), 0 mom
Diego_Reyes (LIB), 0 mom
Ludwig_A (LIB), 0 mom
Emil_Krafth (LIB), 0 mom
E_Bergstrom (LIB), 0 mom
Y_Tielemans (LIB), 0 mom
É_Gutiérrez (LIB), 0 mom
Javier_Aquino (LIB), 0 mom
J_Durmaz (LIB), 0 mom
O_Pineda (LIB), 0 mom
Simon_Hedlund (LIB), 0 mom
C_Benteke (LIB), 0 mom
D_Berardi (LIB), 0 mom
H_Lozano (LIB), 0 mom
Sam_Larsson (LIB), 0 mom
B_Hrgota (LIB), 0 mom
C_Nyman (LIB), 0 mom
G_Guedes (PSG), 0 mom
Kenneth_Paal (PSV), 0 mom
M_Barbosa (VIL), 0 mom
S_Sturaro (JUV), 0 mom
S_de_Vrij (LIB), 0 mom
M_Caceres (LIB), 0 mom
S_Prödl (LIB), 0 mom
Michal_Pazdan (LIB), 0 mom
M_Hinteregger (LIB), 0 mom
Andreas_Ulmer (LIB), 0 mom
Florian_Klein (LIB), 0 mom
W_Sneijder (LIB), 0 mom
Quincy_Promes (LIB), 0 mom
Nico_Lodeiro (LIB), 0 mom
Jordy_Clasie (LIB), 0 mom
Blasczykowski (LIB), 0 mom
E_Polanski (LIB), 0 mom
M_Pereyra (LIB), 0 mom
Karol_Linetty (LIB), 0 mom
K_Maczynski (LIB), 0 mom
Pawel_Wszolek (LIB), 0 mom
Mateusz_Klich (LIB), 0 mom
Bas_Dost (LIB), 0 mom
M_Le_Marchand (NIC), 0 mom
G_Fernandes (LIB), 0 mom
Tom_Lawrence (LIB), 0 mom
F_Coentrão (BMU), 0 mom
Muhamed_Besic (EVE), 0 mom
S_Widmwer (LIB), 0 mom
J_Djourou (LIB), 0 mom
Paul_Aguilar (LIB), 0 mom
James_Collins (LIB), 0 mom
James_Chester (LIB), 0 mom
L_De_Bock (LIB), 0 mom
Néstor_Araujo (LIB), 0 mom
Axel_Witsel (LIB), 0 mom
Joe_Allen (LIB), 0 mom
V_Behrami (LIB), 0 mom
Gokham_Inler (LIB), 0 mom
T_Barnetta (LIB), 0 mom
Joe_Ledley (LIB), 0 mom
Chris_Gunter (LIB), 0 mom
Neto (JUV), 0 mom
Emiliano_V (LIB), 0 mom
G_Ramirez (LIB), 0 mom
M_Vecino (LIB), 0 mom
S_Alberto (PSV), 0 mom
Gaëtan_Perrin (LYO), 0 mom
C_Randall (LIV), 0 mom
Fernando (MCI), 0 mom
Andrea_Poli (S04), 0 mom
Neil_Taylor (LIB), 0 mom
Raúl_Jiménez (SLB), 0 mom
L_Podolski (LIB), 0 mom
Eloge_Yao (INT), 0 mom
A_Nura (ROM), 0 mom
Gerson (ROM), 0 mom
V_Claesson (LIB), 0 mom
Bruno_M_Indi (LIB), 0 mom
Marc_Janko (LIB), 0 mom
J_Doménech (VAL), 0 mom
S_Ilsanker (LIB), 0 mom
Fede_Ricca (LIB), 0 mom
L_Castán (LIB), 0 mom
Nico_Elvedi (LIB), 0 mom
Mario_Gómez (LIB), 0 mom
J_Riedewald (BDO), 0 mom
D_Cotterill (LIB), 0 mom
P_Olkowski (LIB), 0 mom
L_Teodorczyk (LIB), 0 mom
Joo-Ho_Park (BDO), 0 mom
Igor_Lewczuk (LIB), 0 mom
Ahmed_Musa (BAR), 0 mom
S_Magnasco (LIB), 0 mom
N_Viergever (AJX), 0 mom
A_Rabillard (OMA), 0 mom
D_da_Costa (BLE), 0 mom
M_Cauteruccio (LIB), 0 mom
W_Caballero (MCI), 0 mom
Ola_Aina (CHE), 0 mom
Duván_Zapata (LIB), 0 mom
Marco_Storari (MIL), 0 mom
David_Soria (SEV), 0 mom
C_Trimmel (LIB), 0 mom
Sime_Vrsaljko (ATM), 0 mom
Joel_Lynch (LIB), 0 mom
