Lionel_Messi (BAR), 13 partidos jugados
C_Zapata (MIL), 4 partidos jugados
Iker_Casillas (OPO), 4 partidos jugados
Aaron_Lennon (EVE), 4 partidos jugados
Arouna_Koné (EVE), 4 partidos jugados
M_Albrighton (LEI), 4 partidos jugados
D_Amartey (LEI), 4 partidos jugados
Marcos_Alonso (MUN), 4 partidos jugados
André_André (OPO), 4 partidos jugados
L_Tonelli (NAP), 4 partidos jugados
Adil_Rami (SEV), 4 partidos jugados
G_Siqueira (VAL), 4 partidos jugados
D_Carriço (SEV), 4 partidos jugados
Juan_Bernat (RMA), 4 partidos jugados
P_Kimpembe (PSG), 4 partidos jugados
Sebas_Coates (RMA), 4 partidos jugados
C_Jallet (LYO), 4 partidos jugados
R_Hernández (VIL), 4 partidos jugados
Raúl_Jiménez (SLB), 3 partidos jugados
Andrea_Poli (S04), 3 partidos jugados
M_Ángel_Moyá (ATM), 3 partidos jugados
Josh_Onomah (TOT), 3 partidos jugados
K_Trippier (TOT), 3 partidos jugados
Dalbert (NIC), 3 partidos jugados
Bouna_Sarr (OMA), 3 partidos jugados
K_Iheanacho (MCI), 3 partidos jugados
Santos_Borré (VIL), 3 partidos jugados
Mario_Lemina (JUV), 3 partidos jugados
A_Lookman (EVE), 3 partidos jugados
Nuri_Sahin (BDO), 3 partidos jugados
A_Diawara (NAP), 3 partidos jugados
F_Soares (OPO), 3 partidos jugados
G_Boschilia (ASM), 3 partidos jugados
G_Burgstaller (S04), 3 partidos jugados
R-P_Lundqvist (PSV), 3 partidos jugados
B_Stambouli (S04), 3 partidos jugados
G_Castro (BDO), 3 partidos jugados
O_Zinchenko (PSV), 3 partidos jugados
Brice_Samba (OMA), 3 partidos jugados
M_Gorgelin (LYO), 3 partidos jugados
Tomas_Hubocan (OMA), 3 partidos jugados
M_Oyarzabal (ARS), 3 partidos jugados
Kévin_N'Doram (ASM), 3 partidos jugados
M_Batshuayi (BLE), 3 partidos jugados
Rafetraniaina (NIC), 3 partidos jugados
C_Nkunku (PSG), 3 partidos jugados
N_Bentaleb (S04), 3 partidos jugados
Juraj_Kucka (MIL), 3 partidos jugados
Mario_Pasalic (MIL), 3 partidos jugados
A_Carrillo (MIL), 3 partidos jugados
S_Okazaki (MIL), 3 partidos jugados
A_Souquet (NIC), 3 partidos jugados
Sven_Bender (BDO), 3 partidos jugados
M_Ginter (BDO), 3 partidos jugados
C_Pulisic (BDO), 3 partidos jugados
E_Valencia (EVE), 3 partidos jugados
Gareth_Barry (EVE), 3 partidos jugados
R-R_Zieler (LEI), 3 partidos jugados
Keylor_Navas (PSG), 3 partidos jugados
Tom_Davies (EVE), 3 partidos jugados
J_Correa (SEV), 3 partidos jugados
M_Kranevitter (SEV), 3 partidos jugados
Ahmed_Musa (BAR), 2 partidos jugados
Mario_Gómez (LIB), 2 partidos jugados
J_Doménech (VAL), 2 partidos jugados
Bruno_M_Indi (LIB), 2 partidos jugados
Eloge_Yao (INT), 2 partidos jugados
C_Randall (LIV), 2 partidos jugados
Fernando (MCI), 2 partidos jugados
Gaëtan_Perrin (LYO), 2 partidos jugados
S_Alberto (PSV), 2 partidos jugados
G_Fernandes (LIB), 2 partidos jugados
Tom_Lawrence (LIB), 2 partidos jugados
V_Stocker (LIB), 2 partidos jugados
G_Carrillo (ASM), 2 partidos jugados
Jesús_Navas (MCI), 2 partidos jugados
D_C-Lewin (EVE), 2 partidos jugados
J-P_Mateta (LYO), 2 partidos jugados
Timo_Werner (RMA), 2 partidos jugados
Jason_Denayer (LIB), 2 partidos jugados
R_van_Persie (LIB), 2 partidos jugados
Pablo_Sarabia (SEV), 2 partidos jugados
Alisson (ROM), 2 partidos jugados
F_Di_Santo (S04), 2 partidos jugados
M_Torres (LIB), 2 partidos jugados
Divock_Origi (LIV), 2 partidos jugados
Éder_Balanta (LIB), 2 partidos jugados
Emre_Can (LIV), 2 partidos jugados
F_Grillitsch (LIB), 2 partidos jugados
A_Jedrzejczyk (LIB), 2 partidos jugados
N_Kalinic (LIB), 2 partidos jugados
Milan_Badelj (LIB), 2 partidos jugados
J_Williams (LIB), 2 partidos jugados
Derdiyok (LIB), 2 partidos jugados
Sam_Vokes (LIB), 2 partidos jugados
Shinji_Kagawa (BDO), 2 partidos jugados
Josip_Drmic (LIB), 2 partidos jugados
Ched_Evans (LIB), 2 partidos jugados
Gonzalo_Jara (LIB), 2 partidos jugados
Veli_Kavlak (LIB), 2 partidos jugados
S_Rode (BDO), 2 partidos jugados
S_Cristóforo (LIB), 2 partidos jugados
L_Ulloa (LEI), 2 partidos jugados
L_Torreira (LIB), 2 partidos jugados
S_Mignolet (LIV), 2 partidos jugados
F_Muslera (LIB), 2 partidos jugados
G_Ochoa (LIB), 2 partidos jugados
Mauricio_Isla (LIB), 2 partidos jugados
Enzo_Roco (LIB), 2 partidos jugados
César_Montes (LIB), 2 partidos jugados
M_Albornoz (LIB), 2 partidos jugados
Marcelo_Díaz (LIB), 2 partidos jugados
Jesús_Molina (LIB), 2 partidos jugados
Gaël_Clichy (MCI), 2 partidos jugados
Onyinye_Ndidi (BMU), 2 partidos jugados
W_Hennessey (LIB), 2 partidos jugados
Emre_Mor (BDO), 2 partidos jugados
Sven_Ulreich (BMU), 2 partidos jugados
José_Fonte (LIB), 2 partidos jugados
G_Martins (LIB), 2 partidos jugados
Quaresma (LIB), 2 partidos jugados
Erik_Durm (BDO), 2 partidos jugados
Todd_Kane (CHE), 2 partidos jugados
J_Hopf (LIB), 2 partidos jugados
Alexy_Bosetti (NIC), 2 partidos jugados
M_Pennington (EVE), 2 partidos jugados
Joe_Hart (LIB), 2 partidos jugados
V_Corluka (LIB), 2 partidos jugados
Darijo_Srna (LIB), 2 partidos jugados
D_Caligiuri (S04), 2 partidos jugados
Andy_King (LEI), 2 partidos jugados
C_Lenglet (SEV), 2 partidos jugados
A_Aréola (RMA), 2 partidos jugados
Joel_Lynch (LIB), 1 partidos jugados
Sime_Vrsaljko (ATM), 1 partidos jugados
C_Trimmel (LIB), 1 partidos jugados
David_Soria (SEV), 1 partidos jugados
Marco_Storari (MIL), 1 partidos jugados
Duván_Zapata (LIB), 1 partidos jugados
Ola_Aina (CHE), 1 partidos jugados
M_Cauteruccio (LIB), 1 partidos jugados
W_Caballero (MCI), 1 partidos jugados
D_da_Costa (BLE), 1 partidos jugados
A_Rabillard (OMA), 1 partidos jugados
N_Viergever (AJX), 1 partidos jugados
S_Magnasco (LIB), 1 partidos jugados
Joo-Ho_Park (BDO), 1 partidos jugados
Igor_Lewczuk (LIB), 1 partidos jugados
P_Olkowski (LIB), 1 partidos jugados
L_Teodorczyk (LIB), 1 partidos jugados
D_Cotterill (LIB), 1 partidos jugados
J_Riedewald (BDO), 1 partidos jugados
Nico_Elvedi (LIB), 1 partidos jugados
L_Castán (LIB), 1 partidos jugados
Fede_Ricca (LIB), 1 partidos jugados
S_Ilsanker (LIB), 1 partidos jugados
Marc_Janko (LIB), 1 partidos jugados
V_Claesson (LIB), 1 partidos jugados
A_Nura (ROM), 1 partidos jugados
Gerson (ROM), 1 partidos jugados
L_Podolski (LIB), 1 partidos jugados
Neil_Taylor (LIB), 1 partidos jugados
Neto (JUV), 1 partidos jugados
Emiliano_V (LIB), 1 partidos jugados
Chris_Gunter (LIB), 1 partidos jugados
G_Ramirez (LIB), 1 partidos jugados
M_Vecino (LIB), 1 partidos jugados
F_Coentrão (BMU), 1 partidos jugados
Muhamed_Besic (EVE), 1 partidos jugados
S_Widmwer (LIB), 1 partidos jugados
J_Djourou (LIB), 1 partidos jugados
Paul_Aguilar (LIB), 1 partidos jugados
James_Collins (LIB), 1 partidos jugados
James_Chester (LIB), 1 partidos jugados
C_Salcedo (LIB), 1 partidos jugados
L_De_Bock (LIB), 1 partidos jugados
Néstor_Araujo (LIB), 1 partidos jugados
Axel_Witsel (LIB), 1 partidos jugados
Joe_Allen (LIB), 1 partidos jugados
V_Behrami (LIB), 1 partidos jugados
Gokham_Inler (LIB), 1 partidos jugados
T_Barnetta (LIB), 1 partidos jugados
Joe_Ledley (LIB), 1 partidos jugados
S_Sturaro (JUV), 1 partidos jugados
S_de_Vrij (LIB), 1 partidos jugados
M_Caceres (LIB), 1 partidos jugados
S_Prödl (LIB), 1 partidos jugados
Michal_Pazdan (LIB), 1 partidos jugados
M_Hinteregger (LIB), 1 partidos jugados
Andreas_Ulmer (LIB), 1 partidos jugados
Florian_Klein (LIB), 1 partidos jugados
W_Sneijder (LIB), 1 partidos jugados
Quincy_Promes (LIB), 1 partidos jugados
Nico_Lodeiro (LIB), 1 partidos jugados
Jordy_Clasie (LIB), 1 partidos jugados
Blasczykowski (LIB), 1 partidos jugados
E_Polanski (LIB), 1 partidos jugados
M_Pereyra (LIB), 1 partidos jugados
Karol_Linetty (LIB), 1 partidos jugados
K_Maczynski (LIB), 1 partidos jugados
Pawel_Wszolek (LIB), 1 partidos jugados
Mateusz_Klich (LIB), 1 partidos jugados
Bas_Dost (LIB), 1 partidos jugados
M_Le_Marchand (NIC), 1 partidos jugados
Stekelenburg (EVE), 1 partidos jugados
Gonzalo_Rguez (LIB), 1 partidos jugados
N_Lombaerts (LIB), 1 partidos jugados
Diego_Reyes (LIB), 1 partidos jugados
Ludwig_A (LIB), 1 partidos jugados
Emil_Krafth (LIB), 1 partidos jugados
E_Bergstrom (LIB), 1 partidos jugados
Y_Tielemans (LIB), 1 partidos jugados
É_Gutiérrez (LIB), 1 partidos jugados
Javier_Aquino (LIB), 1 partidos jugados
J_Durmaz (LIB), 1 partidos jugados
O_Pineda (LIB), 1 partidos jugados
Simon_Hedlund (LIB), 1 partidos jugados
C_Benteke (LIB), 1 partidos jugados
D_Berardi (LIB), 1 partidos jugados
H_Lozano (LIB), 1 partidos jugados
Sam_Larsson (LIB), 1 partidos jugados
B_Hrgota (LIB), 1 partidos jugados
C_Nyman (LIB), 1 partidos jugados
G_Guedes (PSG), 1 partidos jugados
Kenneth_Paal (PSV), 1 partidos jugados
M_Barbosa (VIL), 1 partidos jugados
K_Asamoah (JUV), 1 partidos jugados
Loïc_Perrin (LIB), 1 partidos jugados
G_Pezzella (LIB), 1 partidos jugados
Hrvoje_Milic (LIB), 1 partidos jugados
M_Suttner (LIB), 1 partidos jugados
M_Arnautovic (LIB), 1 partidos jugados
F_Anderson (LIB), 1 partidos jugados
R_Pereyra (LIB), 1 partidos jugados
A_Halilovic (LIB), 1 partidos jugados
Konrad_Laimer (LIB), 1 partidos jugados
Joãozinho (LIB), 1 partidos jugados
Matin_Harnik (LIB), 1 partidos jugados
Davy_Klaassen (AJX), 1 partidos jugados
Vaclav_Cerny (BDO), 1 partidos jugados
Demarai_Gray (LEI), 1 partidos jugados
R_Shawcross (LIB), 1 partidos jugados
Jonas_Hector (LIB), 1 partidos jugados
Jeffrey_Bruma (LIB), 1 partidos jugados
Michael_Lang (LIB), 1 partidos jugados
Fabin_Schar (LIB), 1 partidos jugados
P_Jansson (LIB), 1 partidos jugados
Timm_Klose (LIB), 1 partidos jugados
F_Helander (LIB), 1 partidos jugados
Paul_Dummett (LIB), 1 partidos jugados
Jack_Wilshere (LIB), 1 partidos jugados
Jeremain_Lens (LIB), 1 partidos jugados
E_Forsberg (LIB), 1 partidos jugados
Nigel_de_Jong (LIB), 1 partidos jugados
Robin_Quaison (LIB), 1 partidos jugados
S_Tibbling (LIB), 1 partidos jugados
A_Fransson (LIB), 1 partidos jugados
Marcus_Rohdén (LIB), 1 partidos jugados
Tom_Bradshaw (LIB), 1 partidos jugados
F_Escales (OMA), 1 partidos jugados
Ivan_Strinic (OPO), 1 partidos jugados
Michel_Vorm (TOT), 1 partidos jugados
B_Espinosa (LIB), 1 partidos jugados
Frank_Fabra (LIB), 1 partidos jugados
D_Bocanegra (LIB), 1 partidos jugados
Daniel_Torres (LIB), 1 partidos jugados
Carlos_Sáncez (LIB), 1 partidos jugados
S_Pérez (LIB), 1 partidos jugados
Luis_Muriel (LIB), 1 partidos jugados
M_Krohn-Dehli (SEV), 1 partidos jugados
