W_Szczesny (ROM), 1236 minutos
F_Grillitsch (LIB), 138 minutos
Emre_Can (LIV), 136 minutos
J-K_Augustin (PSG), 135 minutos
Éder_Balanta (LIB), 132 minutos
Divock_Origi (LIV), 129 minutos
M_Torres (LIB), 127 minutos
F_Di_Santo (S04), 124 minutos
Alisson (ROM), 120 minutos
Pablo_Sarabia (SEV), 118 minutos
K_Trippier (TOT), 117 minutos
Jason_Denayer (LIB), 116 minutos
R_van_Persie (LIB), 116 minutos
Josh_Onomah (TOT), 115 minutos
M_Ángel_Moyá (ATM), 114 minutos
V_Yurchenko (BLE), 112 minutos
M_Fellaini (MUN), 112 minutos
Timo_Werner (RMA), 105 minutos
J-P_Mateta (LYO), 102 minutos
D_C-Lewin (EVE), 100 minutos
G_Carrillo (ASM), 98 minutos
Jesús_Navas (MCI), 98 minutos
B_Espinosa (LIB), 98 minutos
Frank_Fabra (LIB), 98 minutos
D_Bocanegra (LIB), 98 minutos
Daniel_Torres (LIB), 98 minutos
Carlos_Sáncez (LIB), 98 minutos
S_Pérez (LIB), 98 minutos
Luis_Muriel (LIB), 98 minutos
M_Krohn-Dehli (SEV), 98 minutos
V_Stocker (LIB), 97 minutos
Davy_Klaassen (AJX), 97 minutos
Vaclav_Cerny (BDO), 97 minutos
Demarai_Gray (LEI), 97 minutos
R_Shawcross (LIB), 97 minutos
Jonas_Hector (LIB), 97 minutos
Jeffrey_Bruma (LIB), 97 minutos
Michael_Lang (LIB), 97 minutos
Fabin_Schar (LIB), 97 minutos
P_Jansson (LIB), 97 minutos
Timm_Klose (LIB), 97 minutos
F_Helander (LIB), 97 minutos
Paul_Dummett (LIB), 97 minutos
Jack_Wilshere (LIB), 97 minutos
Jeremain_Lens (LIB), 97 minutos
E_Forsberg (LIB), 97 minutos
Nigel_de_Jong (LIB), 97 minutos
Robin_Quaison (LIB), 97 minutos
S_Tibbling (LIB), 97 minutos
A_Fransson (LIB), 97 minutos
Marcus_Rohdén (LIB), 97 minutos
Tom_Bradshaw (LIB), 97 minutos
F_Escales (OMA), 97 minutos
Ivan_Strinic (OPO), 97 minutos
Michel_Vorm (TOT), 97 minutos
K_Asamoah (JUV), 96 minutos
Loïc_Perrin (LIB), 96 minutos
G_Pezzella (LIB), 96 minutos
Hrvoje_Milic (LIB), 96 minutos
M_Suttner (LIB), 96 minutos
M_Arnautovic (LIB), 96 minutos
F_Anderson (LIB), 96 minutos
R_Pereyra (LIB), 96 minutos
A_Halilovic (LIB), 96 minutos
Konrad_Laimer (LIB), 96 minutos
Joãozinho (LIB), 96 minutos
Matin_Harnik (LIB), 96 minutos
Stekelenburg (EVE), 95 minutos
Gonzalo_Rguez (LIB), 95 minutos
N_Lombaerts (LIB), 95 minutos
Diego_Reyes (LIB), 95 minutos
Ludwig_A (LIB), 95 minutos
Emil_Krafth (LIB), 95 minutos
E_Bergstrom (LIB), 95 minutos
Y_Tielemans (LIB), 95 minutos
É_Gutiérrez (LIB), 95 minutos
Javier_Aquino (LIB), 95 minutos
J_Durmaz (LIB), 95 minutos
O_Pineda (LIB), 95 minutos
Simon_Hedlund (LIB), 95 minutos
C_Benteke (LIB), 95 minutos
D_Berardi (LIB), 95 minutos
H_Lozano (LIB), 95 minutos
Sam_Larsson (LIB), 95 minutos
B_Hrgota (LIB), 95 minutos
C_Nyman (LIB), 95 minutos
G_Guedes (PSG), 95 minutos
Kenneth_Paal (PSV), 95 minutos
M_Barbosa (VIL), 95 minutos
S_Sturaro (JUV), 94 minutos
S_de_Vrij (LIB), 94 minutos
M_Caceres (LIB), 94 minutos
S_Prödl (LIB), 94 minutos
Michal_Pazdan (LIB), 94 minutos
M_Hinteregger (LIB), 94 minutos
Andreas_Ulmer (LIB), 94 minutos
Florian_Klein (LIB), 94 minutos
W_Sneijder (LIB), 94 minutos
Quincy_Promes (LIB), 94 minutos
Nico_Lodeiro (LIB), 94 minutos
Jordy_Clasie (LIB), 94 minutos
Blasczykowski (LIB), 94 minutos
E_Polanski (LIB), 94 minutos
M_Pereyra (LIB), 94 minutos
Karol_Linetty (LIB), 94 minutos
K_Maczynski (LIB), 94 minutos
Pawel_Wszolek (LIB), 94 minutos
Mateusz_Klich (LIB), 94 minutos
Bas_Dost (LIB), 94 minutos
M_Le_Marchand (NIC), 94 minutos
G_Fernandes (LIB), 93 minutos
Tom_Lawrence (LIB), 93 minutos
F_Coentrão (BMU), 93 minutos
Muhamed_Besic (EVE), 93 minutos
S_Widmwer (LIB), 93 minutos
J_Djourou (LIB), 93 minutos
Paul_Aguilar (LIB), 93 minutos
James_Collins (LIB), 93 minutos
James_Chester (LIB), 93 minutos
C_Salcedo (LIB), 93 minutos
L_De_Bock (LIB), 93 minutos
Néstor_Araujo (LIB), 93 minutos
Axel_Witsel (LIB), 93 minutos
Joe_Allen (LIB), 93 minutos
V_Behrami (LIB), 93 minutos
Gokham_Inler (LIB), 93 minutos
T_Barnetta (LIB), 93 minutos
Joe_Ledley (LIB), 93 minutos
Chris_Gunter (LIB), 92 minutos
Neto (JUV), 92 minutos
Emiliano_V (LIB), 92 minutos
G_Ramirez (LIB), 92 minutos
M_Vecino (LIB), 92 minutos
S_Alberto (PSV), 90 minutos
Gaëtan_Perrin (LYO), 86 minutos
C_Randall (LIV), 82 minutos
Fernando (MCI), 82 minutos
Andrea_Poli (S04), 80 minutos
Neil_Taylor (LIB), 77 minutos
Raúl_Jiménez (SLB), 73 minutos
L_Podolski (LIB), 71 minutos
Eloge_Yao (INT), 68 minutos
A_Nura (ROM), 68 minutos
Gerson (ROM), 68 minutos
V_Claesson (LIB), 67 minutos
Bruno_M_Indi (LIB), 65 minutos
Marc_Janko (LIB), 65 minutos
J_Doménech (VAL), 63 minutos
S_Ilsanker (LIB), 63 minutos
Fede_Ricca (LIB), 62 minutos
L_Castán (LIB), 61 minutos
Nico_Elvedi (LIB), 59 minutos
Mario_Gómez (LIB), 53 minutos
J_Riedewald (BDO), 53 minutos
D_Cotterill (LIB), 52 minutos
P_Olkowski (LIB), 49 minutos
L_Teodorczyk (LIB), 49 minutos
Joo-Ho_Park (BDO), 45 minutos
Igor_Lewczuk (LIB), 45 minutos
Ahmed_Musa (BAR), 44 minutos
S_Magnasco (LIB), 42 minutos
N_Viergever (AJX), 38 minutos
A_Rabillard (OMA), 37 minutos
D_da_Costa (BLE), 33 minutos
M_Cauteruccio (LIB), 31 minutos
W_Caballero (MCI), 31 minutos
Ola_Aina (CHE), 26 minutos
Duván_Zapata (LIB), 24 minutos
Marco_Storari (MIL), 17 minutos
David_Soria (SEV), 16 minutos
C_Trimmel (LIB), 16 minutos
Sime_Vrsaljko (ATM), 10 minutos
Joel_Lynch (LIB), 5 minutos
