R_Hilbert (BLE), 9 partidos como suplente
A_Abdennour (VAL), 0 partidos como suplente
Daley_Blind (CHE), 0 partidos como suplente
G_Kondogbia (INT), 0 partidos como suplente
Ashley_Young (LEI), 0 partidos como suplente
Josip_Brekalo (AJX), 0 partidos como suplente
Rémy_Cabella (OMA), 0 partidos como suplente
Ganso (SEV), 0 partidos como suplente
Lucas_Pérez (LEI), 0 partidos como suplente
Tiago (ATM), 0 partidos como suplente
M_Fernández (OPO), 0 partidos como suplente
F_Passlack (AJX), 0 partidos como suplente
C_C-Vickers (AJX), 0 partidos como suplente
G_Krychowiak (RMA), 0 partidos como suplente
Joël_Veltman (AJX), 0 partidos como suplente
M_de_Ligt (AJX), 0 partidos como suplente
T_Fosu-Mensah (AJX), 0 partidos como suplente
D_van_de_Beek (AJX), 0 partidos como suplente
K_Dolberg (AJX), 0 partidos como suplente
L_Martínez (AJX), 0 partidos como suplente
M_Pjanic (JUV), 0 partidos como suplente
Lucas_Tousart (LYO), 0 partidos como suplente
Jonas (SLB), 0 partidos como suplente
Kenedy (CHE), 0 partidos como suplente
Davide_Santon (INT), 0 partidos como suplente
Yuto_Nagatomo (INT), 0 partidos como suplente
T_Sainsbury (INT), 0 partidos como suplente
V_Chiriches (BAR), 0 partidos como suplente
Siem_de_Jong (PSV), 0 partidos como suplente
Lucas_Digne (BAR), 0 partidos como suplente
V_Iborra (SEV), 0 partidos como suplente
Aleix_Vidal (BAR), 0 partidos como suplente
F_Vázquez (SEV), 0 partidos como suplente
C_Marchisio (JUV), 0 partidos como suplente
Nathan_Aké (CHE), 0 partidos como suplente
Wes_Morgan (LEI), 0 partidos como suplente
I_Williams (LEI), 0 partidos como suplente
D_Criscito (NAP), 0 partidos como suplente
Dani_Ceballos (LEI), 0 partidos como suplente
M_Andreolli (INT), 0 partidos como suplente
D_D'Ambrosio (INT), 0 partidos como suplente
R_Gagliardini (INT), 0 partidos como suplente
Danny_Simpson (LEI), 0 partidos como suplente
Molla_Wague (LEI), 0 partidos como suplente
Y_Benalouane (LEI), 0 partidos como suplente
Renato_S (LEI), 0 partidos como suplente
Gustavo_Gómez (SLB), 0 partidos como suplente
Maxwell (PSG), 0 partidos como suplente
Mateo_Kovacic (RMA), 0 partidos como suplente
B_Trémoulinas (SEV), 0 partidos como suplente
Alessio_Cerci (VIL), 0 partidos como suplente
Henri_Bedimo (OMA), 0 partidos como suplente
M_Montoya (VAL), 0 partidos como suplente
F_Augusto (SLB), 0 partidos como suplente
D_Sinkgraven (SLB), 0 partidos como suplente
Wendell (BLE), 0 partidos como suplente
Jorge (ASM), 0 partidos como suplente
V_Lindelöf (MIL), 0 partidos como suplente
Dennis_Aogo (S04), 0 partidos como suplente
Ignazio_Abate (MIL), 0 partidos como suplente
Choupo-Moting (S04), 0 partidos como suplente
Karim_Rekik (OMA), 0 partidos como suplente
Abou_Diaby (OMA), 0 partidos como suplente
Mason_Holgate (EVE), 0 partidos como suplente
Hiroki_Sakai (OMA), 0 partidos como suplente
S_Kolasinac (S04), 0 partidos como suplente
J_Mathieu (BAR), 0 partidos como suplente
André_Horta (SLB), 0 partidos como suplente
Luke_Garbutt (EVE), 0 partidos como suplente
A_Santos (VAL), 0 partidos como suplente
G_Paletta (MIL), 0 partidos como suplente
Andrea_Raggi (ASM), 0 partidos como suplente
N_Pareja (SEV), 0 partidos como suplente
H_Badstuber (S04), 0 partidos como suplente
Nemanja_Matic (MUN), 0 partidos como suplente
M_Hermes (SLB), 0 partidos como suplente
Ramazan_Özcan (BLE), 0 partidos como suplente
R_Montolivo (MIL), 0 partidos como suplente
A_Bertolacci (MIL), 0 partidos como suplente
Paul_Baysse (NIC), 0 partidos como suplente
V_Eysseric (NIC), 0 partidos como suplente
Rémi_Walter (NIC), 0 partidos como suplente
A_Lusamba (NIC), 0 partidos como suplente
M_Le_Bihan (NIC), 0 partidos como suplente
A_Donis (NIC), 0 partidos como suplente
Marc_Bartra (BDO), 0 partidos como suplente
Julian_Brandt (BLE), 0 partidos como suplente
Gabi (ATM), 0 partidos como suplente
N_N'Koulou (LYO), 0 partidos como suplente
Jordan_Ferri (LYO), 0 partidos como suplente
C_Zapata (MIL), 0 partidos como suplente
Iker_Casillas (OPO), 0 partidos como suplente
Aaron_Lennon (EVE), 0 partidos como suplente
Arouna_Koné (EVE), 0 partidos como suplente
M_Albrighton (LEI), 0 partidos como suplente
D_Amartey (LEI), 0 partidos como suplente
Marcos_Alonso (MUN), 0 partidos como suplente
André_André (OPO), 0 partidos como suplente
L_Tonelli (NAP), 0 partidos como suplente
Adil_Rami (SEV), 0 partidos como suplente
D_Carriço (SEV), 0 partidos como suplente
Juan_Bernat (RMA), 0 partidos como suplente
P_Kimpembe (PSG), 0 partidos como suplente
Sebas_Coates (RMA), 0 partidos como suplente
C_Jallet (LYO), 0 partidos como suplente
R_Hernández (VIL), 0 partidos como suplente
Dalbert (NIC), 0 partidos como suplente
Santos_Borré (VIL), 0 partidos como suplente
A_Lookman (EVE), 0 partidos como suplente
G_Burgstaller (S04), 0 partidos como suplente
B_Stambouli (S04), 0 partidos como suplente
O_Zinchenko (PSV), 0 partidos como suplente
Tomas_Hubocan (OMA), 0 partidos como suplente
M_Oyarzabal (ARS), 0 partidos como suplente
Kévin_N'Doram (ASM), 0 partidos como suplente
M_Batshuayi (BLE), 0 partidos como suplente
Rafetraniaina (NIC), 0 partidos como suplente
C_Nkunku (PSG), 0 partidos como suplente
N_Bentaleb (S04), 0 partidos como suplente
Juraj_Kucka (MIL), 0 partidos como suplente
Mario_Pasalic (MIL), 0 partidos como suplente
A_Carrillo (MIL), 0 partidos como suplente
S_Okazaki (MIL), 0 partidos como suplente
A_Souquet (NIC), 0 partidos como suplente
Sven_Bender (BDO), 0 partidos como suplente
M_Ginter (BDO), 0 partidos como suplente
C_Pulisic (BDO), 0 partidos como suplente
E_Valencia (EVE), 0 partidos como suplente
Gareth_Barry (EVE), 0 partidos como suplente
R-R_Zieler (LEI), 0 partidos como suplente
Keylor_Navas (PSG), 0 partidos como suplente
Tom_Davies (EVE), 0 partidos como suplente
J_Correa (SEV), 0 partidos como suplente
M_Kranevitter (SEV), 0 partidos como suplente
S_Alberto (PSV), 0 partidos como suplente
R_van_Persie (LIB), 0 partidos como suplente
Pablo_Sarabia (SEV), 0 partidos como suplente
A_Jedrzejczyk (LIB), 0 partidos como suplente
Milan_Badelj (LIB), 0 partidos como suplente
J_Williams (LIB), 0 partidos como suplente
Derdiyok (LIB), 0 partidos como suplente
Sam_Vokes (LIB), 0 partidos como suplente
Shinji_Kagawa (BDO), 0 partidos como suplente
Gonzalo_Jara (LIB), 0 partidos como suplente
Veli_Kavlak (LIB), 0 partidos como suplente
S_Cristóforo (LIB), 0 partidos como suplente
L_Torreira (LIB), 0 partidos como suplente
F_Muslera (LIB), 0 partidos como suplente
G_Ochoa (LIB), 0 partidos como suplente
Mauricio_Isla (LIB), 0 partidos como suplente
Enzo_Roco (LIB), 0 partidos como suplente
César_Montes (LIB), 0 partidos como suplente
M_Albornoz (LIB), 0 partidos como suplente
Marcelo_Díaz (LIB), 0 partidos como suplente
Jesús_Molina (LIB), 0 partidos como suplente
Gaël_Clichy (MCI), 0 partidos como suplente
Onyinye_Ndidi (BMU), 0 partidos como suplente
W_Hennessey (LIB), 0 partidos como suplente
Emre_Mor (BDO), 0 partidos como suplente
Sven_Ulreich (BMU), 0 partidos como suplente
José_Fonte (LIB), 0 partidos como suplente
G_Martins (LIB), 0 partidos como suplente
Quaresma (LIB), 0 partidos como suplente
Erik_Durm (BDO), 0 partidos como suplente
Todd_Kane (CHE), 0 partidos como suplente
J_Hopf (LIB), 0 partidos como suplente
Alexy_Bosetti (NIC), 0 partidos como suplente
M_Pennington (EVE), 0 partidos como suplente
Joe_Hart (LIB), 0 partidos como suplente
V_Corluka (LIB), 0 partidos como suplente
Darijo_Srna (LIB), 0 partidos como suplente
D_Caligiuri (S04), 0 partidos como suplente
Andy_King (LEI), 0 partidos como suplente
C_Lenglet (SEV), 0 partidos como suplente
A_Aréola (RMA), 0 partidos como suplente
Joel_Lynch (LIB), 0 partidos como suplente
Sime_Vrsaljko (ATM), 0 partidos como suplente
C_Trimmel (LIB), 0 partidos como suplente
Joo-Ho_Park (BDO), 0 partidos como suplente
Igor_Lewczuk (LIB), 0 partidos como suplente
Nico_Elvedi (LIB), 0 partidos como suplente
L_Castán (LIB), 0 partidos como suplente
Fede_Ricca (LIB), 0 partidos como suplente
S_Ilsanker (LIB), 0 partidos como suplente
Marc_Janko (LIB), 0 partidos como suplente
V_Claesson (LIB), 0 partidos como suplente
A_Nura (ROM), 0 partidos como suplente
Gerson (ROM), 0 partidos como suplente
L_Podolski (LIB), 0 partidos como suplente
Neil_Taylor (LIB), 0 partidos como suplente
Neto (JUV), 0 partidos como suplente
Emiliano_V (LIB), 0 partidos como suplente
G_Ramirez (LIB), 0 partidos como suplente
M_Vecino (LIB), 0 partidos como suplente
F_Coentrão (BMU), 0 partidos como suplente
Muhamed_Besic (EVE), 0 partidos como suplente
S_Widmwer (LIB), 0 partidos como suplente
J_Djourou (LIB), 0 partidos como suplente
Paul_Aguilar (LIB), 0 partidos como suplente
James_Collins (LIB), 0 partidos como suplente
James_Chester (LIB), 0 partidos como suplente
C_Salcedo (LIB), 0 partidos como suplente
L_De_Bock (LIB), 0 partidos como suplente
Néstor_Araujo (LIB), 0 partidos como suplente
Axel_Witsel (LIB), 0 partidos como suplente
Joe_Allen (LIB), 0 partidos como suplente
V_Behrami (LIB), 0 partidos como suplente
Gokham_Inler (LIB), 0 partidos como suplente
T_Barnetta (LIB), 0 partidos como suplente
Joe_Ledley (LIB), 0 partidos como suplente
S_Sturaro (JUV), 0 partidos como suplente
S_de_Vrij (LIB), 0 partidos como suplente
M_Caceres (LIB), 0 partidos como suplente
S_Prödl (LIB), 0 partidos como suplente
Michal_Pazdan (LIB), 0 partidos como suplente
M_Hinteregger (LIB), 0 partidos como suplente
Andreas_Ulmer (LIB), 0 partidos como suplente
Florian_Klein (LIB), 0 partidos como suplente
W_Sneijder (LIB), 0 partidos como suplente
Quincy_Promes (LIB), 0 partidos como suplente
Nico_Lodeiro (LIB), 0 partidos como suplente
Jordy_Clasie (LIB), 0 partidos como suplente
Blasczykowski (LIB), 0 partidos como suplente
E_Polanski (LIB), 0 partidos como suplente
M_Pereyra (LIB), 0 partidos como suplente
Karol_Linetty (LIB), 0 partidos como suplente
K_Maczynski (LIB), 0 partidos como suplente
Pawel_Wszolek (LIB), 0 partidos como suplente
Mateusz_Klich (LIB), 0 partidos como suplente
Bas_Dost (LIB), 0 partidos como suplente
M_Le_Marchand (NIC), 0 partidos como suplente
Stekelenburg (EVE), 0 partidos como suplente
Gonzalo_Rguez (LIB), 0 partidos como suplente
N_Lombaerts (LIB), 0 partidos como suplente
Diego_Reyes (LIB), 0 partidos como suplente
Ludwig_A (LIB), 0 partidos como suplente
Emil_Krafth (LIB), 0 partidos como suplente
E_Bergstrom (LIB), 0 partidos como suplente
Y_Tielemans (LIB), 0 partidos como suplente
É_Gutiérrez (LIB), 0 partidos como suplente
Javier_Aquino (LIB), 0 partidos como suplente
J_Durmaz (LIB), 0 partidos como suplente
O_Pineda (LIB), 0 partidos como suplente
Simon_Hedlund (LIB), 0 partidos como suplente
C_Benteke (LIB), 0 partidos como suplente
D_Berardi (LIB), 0 partidos como suplente
H_Lozano (LIB), 0 partidos como suplente
Sam_Larsson (LIB), 0 partidos como suplente
B_Hrgota (LIB), 0 partidos como suplente
C_Nyman (LIB), 0 partidos como suplente
G_Guedes (PSG), 0 partidos como suplente
Kenneth_Paal (PSV), 0 partidos como suplente
M_Barbosa (VIL), 0 partidos como suplente
K_Asamoah (JUV), 0 partidos como suplente
Loïc_Perrin (LIB), 0 partidos como suplente
G_Pezzella (LIB), 0 partidos como suplente
Hrvoje_Milic (LIB), 0 partidos como suplente
M_Suttner (LIB), 0 partidos como suplente
M_Arnautovic (LIB), 0 partidos como suplente
F_Anderson (LIB), 0 partidos como suplente
R_Pereyra (LIB), 0 partidos como suplente
A_Halilovic (LIB), 0 partidos como suplente
Konrad_Laimer (LIB), 0 partidos como suplente
Joãozinho (LIB), 0 partidos como suplente
Matin_Harnik (LIB), 0 partidos como suplente
Davy_Klaassen (AJX), 0 partidos como suplente
Vaclav_Cerny (BDO), 0 partidos como suplente
Demarai_Gray (LEI), 0 partidos como suplente
R_Shawcross (LIB), 0 partidos como suplente
Jonas_Hector (LIB), 0 partidos como suplente
Jeffrey_Bruma (LIB), 0 partidos como suplente
Michael_Lang (LIB), 0 partidos como suplente
Fabin_Schar (LIB), 0 partidos como suplente
P_Jansson (LIB), 0 partidos como suplente
Timm_Klose (LIB), 0 partidos como suplente
F_Helander (LIB), 0 partidos como suplente
Paul_Dummett (LIB), 0 partidos como suplente
Jack_Wilshere (LIB), 0 partidos como suplente
Jeremain_Lens (LIB), 0 partidos como suplente
E_Forsberg (LIB), 0 partidos como suplente
Nigel_de_Jong (LIB), 0 partidos como suplente
Robin_Quaison (LIB), 0 partidos como suplente
S_Tibbling (LIB), 0 partidos como suplente
A_Fransson (LIB), 0 partidos como suplente
Marcus_Rohdén (LIB), 0 partidos como suplente
Tom_Bradshaw (LIB), 0 partidos como suplente
F_Escales (OMA), 0 partidos como suplente
Ivan_Strinic (OPO), 0 partidos como suplente
Michel_Vorm (TOT), 0 partidos como suplente
B_Espinosa (LIB), 0 partidos como suplente
Frank_Fabra (LIB), 0 partidos como suplente
D_Bocanegra (LIB), 0 partidos como suplente
Daniel_Torres (LIB), 0 partidos como suplente
Carlos_Sáncez (LIB), 0 partidos como suplente
S_Pérez (LIB), 0 partidos como suplente
Luis_Muriel (LIB), 0 partidos como suplente
M_Krohn-Dehli (SEV), 0 partidos como suplente
