A_Iniesta (BAR), 8 asistencias, 0,800 asistencias por partido
C_Grenier (ROM), 0 asistencias, 0,000 asistencias por partido
E_Cavani (RMA), 0 asistencias, 0,000 asistencias por partido
L_Podolski (LIB), 0 asistencias, 0,000 asistencias por partido
S_Okazaki (MIL), 0 asistencias, 0,000 asistencias por partido
A_Carrillo (MIL), 0 asistencias, 0,000 asistencias por partido
Choupo-Moting (S04), 0 asistencias, 0,000 asistencias por partido
Max_Meyer (S04), 0 asistencias, 0,000 asistencias por partido
Danny_Welbeck (ARS), 0 asistencias, 0,000 asistencias por partido
A_L_Iseka (OMA), 0 asistencias, 0,000 asistencias por partido
F_Thauvin (OMA), 0 asistencias, 0,000 asistencias por partido
Vaclav_Cerny (BDO), 0 asistencias, 0,000 asistencias por partido
Marko_Pjaca (JUV), 0 asistencias, 0,000 asistencias por partido
M_van_Ginkel (PSV), 0 asistencias, 0,000 asistencias por partido
A_Nouri (AJX), 0 asistencias, 0,000 asistencias por partido
André_Gomes (BAR), 0 asistencias, 0,000 asistencias por partido
C_Nyman (LIB), 0 asistencias, 0,000 asistencias por partido
Sam_Vokes (LIB), 0 asistencias, 0,000 asistencias por partido
V_Germain (ASM), 0 asistencias, 0,000 asistencias por partido
M_Le_Bihan (NIC), 0 asistencias, 0,000 asistencias por partido
M_Sissoko (TOT), 0 asistencias, 0,000 asistencias por partido
Vitolo (SEV), 0 asistencias, 0,000 asistencias por partido
Leandrinho (AJX), 0 asistencias, 0,000 asistencias por partido
X_Shaqiri (BDO), 0 asistencias, 0,000 asistencias por partido
D_Carvajal (RMA), 0 asistencias, 0,000 asistencias por partido
T_Meunier (PSG), 0 asistencias, 0,000 asistencias por partido
A_Guardado (PSV), 0 asistencias, 0,000 asistencias por partido
L_Piszczek (BDO), 0 asistencias, 0,000 asistencias por partido
Bas_Dost (LIB), 0 asistencias, 0,000 asistencias por partido
Sam_Larsson (LIB), 0 asistencias, 0,000 asistencias por partido
C_Benteke (LIB), 0 asistencias, 0,000 asistencias por partido
Diogo_Jota (BMU), 0 asistencias, 0,000 asistencias por partido
Alexy_Bosetti (NIC), 0 asistencias, 0,000 asistencias por partido
Z_Machach (OMA), 0 asistencias, 0,000 asistencias por partido
Éder (INT), 0 asistencias, 0,000 asistencias por partido
S_Bergwijn (PSV), 0 asistencias, 0,000 asistencias por partido
Jordan_Ferri (LYO), 0 asistencias, 0,000 asistencias por partido
Danilo (RMA), 0 asistencias, 0,000 asistencias por partido
Daley_Blind (CHE), 0 asistencias, 0,000 asistencias por partido
Rémy_Cabella (OMA), 0 asistencias, 0,000 asistencias por partido
Josip_Brekalo (AJX), 0 asistencias, 0,000 asistencias por partido
John_Stones (MCI), 0 asistencias, 0,000 asistencias por partido
Maxwell (PSG), 0 asistencias, 0,000 asistencias por partido
Bruno_Peres (ROM), 0 asistencias, 0,000 asistencias por partido
Kenny_Tete (BAR), 0 asistencias, 0,000 asistencias por partido
J_McCarthy (EVE), 0 asistencias, 0,000 asistencias por partido
Joe_Allen (LIB), 0 asistencias, 0,000 asistencias por partido
A_Lookman (EVE), 0 asistencias, 0,000 asistencias por partido
G_Martins (LIB), 0 asistencias, 0,000 asistencias por partido
Houssem_Aouar (LYO), 0 asistencias, 0,000 asistencias por partido
O_Zinchenko (PSV), 0 asistencias, 0,000 asistencias por partido
Jordy_Gaspar (LYO), 0 asistencias, 0,000 asistencias por partido
C_Nkunku (PSG), 0 asistencias, 0,000 asistencias por partido
Samuel_Umtiti (ATM), 0 asistencias, 0,000 asistencias por partido
F_de_Jong (AJX), 0 asistencias, 0,000 asistencias por partido
W_Ben_Yedder (SEV), 0 asistencias, 0,000 asistencias por partido
Eric_Dier (TOT), 0 asistencias, 0,000 asistencias por partido
Medhi_Benatia (JUV), 0 asistencias, 0,000 asistencias por partido
Maxime_López (OMA), 0 asistencias, 0,000 asistencias por partido
R_Gagliardini (INT), 0 asistencias, 0,000 asistencias por partido
Ben_Davies (TOT), 0 asistencias, 0,000 asistencias por partido
Henri_Bedimo (OMA), 0 asistencias, 0,000 asistencias por partido
Iván_Marcano (NAP), 0 asistencias, 0,000 asistencias por partido
Maciej_Rybus (LYO), 0 asistencias, 0,000 asistencias por partido
Marcos_Rojo (MUN), 0 asistencias, 0,000 asistencias por partido
J_Locadia (PSV), 0 asistencias, 0,000 asistencias por partido
Rafael_P (LYO), 0 asistencias, 0,000 asistencias por partido
Jean_M_Seri (NIC), 0 asistencias, 0,000 asistencias por partido
S_Coleman (EVE), 0 asistencias, 0,000 asistencias por partido
C_Fuchs (LEI), 0 asistencias, 0,000 asistencias por partido
H_Bellerín (ARS), 0 asistencias, 0,000 asistencias por partido
R_Varane (RMA), 0 asistencias, 0,000 asistencias por partido
Marcelo (RMA), 0 asistencias, 0,000 asistencias por partido
Mats_Hummels (BMU), 0 asistencias, 0,000 asistencias por partido
C_Tolisso (LYO), 0 asistencias, 0,000 asistencias por partido
Jérémy_Morel (LYO), 0 asistencias, 0,000 asistencias por partido
D_Sidibé (ASM), 0 asistencias, 0,000 asistencias por partido
A_Romagnoli (MIL), 0 asistencias, 0,000 asistencias por partido
Raúl_Jiménez (SLB), 0 asistencias, 0,000 asistencias por partido
Gaëtan_Perrin (LYO), 0 asistencias, 0,000 asistencias por partido
G_Ramirez (LIB), 0 asistencias, 0,000 asistencias por partido
S_Sturaro (JUV), 0 asistencias, 0,000 asistencias por partido
M_Pereyra (LIB), 0 asistencias, 0,000 asistencias por partido
M_Le_Marchand (NIC), 0 asistencias, 0,000 asistencias por partido
D_Berardi (LIB), 0 asistencias, 0,000 asistencias por partido
F_Anderson (LIB), 0 asistencias, 0,000 asistencias por partido
F_Di_Santo (S04), 0 asistencias, 0,000 asistencias por partido
Divock_Origi (LIV), 0 asistencias, 0,000 asistencias por partido
Bouna_Sarr (OMA), 0 asistencias, 0,000 asistencias por partido
S_Rode (BDO), 0 asistencias, 0,000 asistencias por partido
V_Janssen (TOT), 0 asistencias, 0,000 asistencias por partido
Santos_Borré (VIL), 0 asistencias, 0,000 asistencias por partido
L_Torreira (LIB), 0 asistencias, 0,000 asistencias por partido
Mario_Lemina (JUV), 0 asistencias, 0,000 asistencias por partido
Gaël_Clichy (MCI), 0 asistencias, 0,000 asistencias por partido
Mauricio_Isla (LIB), 0 asistencias, 0,000 asistencias por partido
C_Aránguiz (BLE), 0 asistencias, 0,000 asistencias por partido
M_Batshuayi (BLE), 0 asistencias, 0,000 asistencias por partido
Mario_Pasalic (MIL), 0 asistencias, 0,000 asistencias por partido
Mason_Holgate (EVE), 0 asistencias, 0,000 asistencias por partido
Sergi_Roberto (BAR), 0 asistencias, 0,000 asistencias por partido
V_Wanyama (TOT), 0 asistencias, 0,000 asistencias por partido
Tin_Jedvaj (BLE), 0 asistencias, 0,000 asistencias por partido
C_C-Vickers (AJX), 0 asistencias, 0,000 asistencias por partido
M_Debuchy (LEI), 0 asistencias, 0,000 asistencias por partido
Dória (OMA), 0 asistencias, 0,000 asistencias por partido
O_Boscagli (AJX), 0 asistencias, 0,000 asistencias por partido
Jetro_Willems (PSV), 0 asistencias, 0,000 asistencias por partido
J_Hendrix (PSV), 0 asistencias, 0,000 asistencias por partido
B_Mendy (ASM), 0 asistencias, 0,000 asistencias por partido
Ömer_Toprak (BLE), 0 asistencias, 0,000 asistencias por partido
Schwensteiger (S04), 0 asistencias, 0,000 asistencias por partido
Morgan_Sanson (OMA), 0 asistencias, 0,000 asistencias por partido
Víctor_Ruiz (VIL), 0 asistencias, 0,000 asistencias por partido
Miguel_Layún (BMU), 0 asistencias, 0,000 asistencias por partido
J_Vertonghen (TOT), 0 asistencias, 0,000 asistencias por partido
E_Mangala (VAL), 0 asistencias, 0,000 asistencias por partido
Marquinhos (PSG), 0 asistencias, 0,000 asistencias por partido
Raúl_Albiol (NAP), 0 asistencias, 0,000 asistencias por partido
V_van_Dijk (TOT), 0 asistencias, 0,000 asistencias por partido
Diego_Godín (ATM), 0 asistencias, 0,000 asistencias por partido
Pepe (RMA), 0 asistencias, 0,000 asistencias por partido
M_Musacchio (BAR), 0 asistencias, 0,000 asistencias por partido
V_Kompany (MCI), 0 asistencias, 0,000 asistencias por partido
S_Mustafi (ARS), 0 asistencias, 0,000 asistencias por partido
Duván_Zapata (LIB), 0 asistencias, 0,000 asistencias por partido
D_da_Costa (BLE), 0 asistencias, 0,000 asistencias por partido
Mario_Gómez (LIB), 0 asistencias, 0,000 asistencias por partido
Gerson (ROM), 0 asistencias, 0,000 asistencias por partido
Andrea_Poli (S04), 0 asistencias, 0,000 asistencias por partido
M_Vecino (LIB), 0 asistencias, 0,000 asistencias por partido
E_Polanski (LIB), 0 asistencias, 0,000 asistencias por partido
Blasczykowski (LIB), 0 asistencias, 0,000 asistencias por partido
Pawel_Wszolek (LIB), 0 asistencias, 0,000 asistencias por partido
Y_Tielemans (LIB), 0 asistencias, 0,000 asistencias por partido
O_Pineda (LIB), 0 asistencias, 0,000 asistencias por partido
Diego_Reyes (LIB), 0 asistencias, 0,000 asistencias por partido
Kenneth_Paal (PSV), 0 asistencias, 0,000 asistencias por partido
Joãozinho (LIB), 0 asistencias, 0,000 asistencias por partido
R_Pereyra (LIB), 0 asistencias, 0,000 asistencias por partido
Konrad_Laimer (LIB), 0 asistencias, 0,000 asistencias por partido
Loïc_Perrin (LIB), 0 asistencias, 0,000 asistencias por partido
Matin_Harnik (LIB), 0 asistencias, 0,000 asistencias por partido
S_Tibbling (LIB), 0 asistencias, 0,000 asistencias por partido
Jonas_Hector (LIB), 0 asistencias, 0,000 asistencias por partido
V_Stocker (LIB), 0 asistencias, 0,000 asistencias por partido
Tom_Bradshaw (LIB), 0 asistencias, 0,000 asistencias por partido
Daniel_Torres (LIB), 0 asistencias, 0,000 asistencias por partido
Frank_Fabra (LIB), 0 asistencias, 0,000 asistencias por partido
Jesús_Navas (MCI), 0 asistencias, 0,000 asistencias por partido
Luis_Muriel (LIB), 0 asistencias, 0,000 asistencias por partido
J-K_Augustin (PSG), 0 asistencias, 0,000 asistencias por partido
F_Grillitsch (LIB), 0 asistencias, 0,000 asistencias por partido
A_Jedrzejczyk (LIB), 0 asistencias, 0,000 asistencias por partido
N_Kalinic (LIB), 0 asistencias, 0,000 asistencias por partido
J_Williams (LIB), 0 asistencias, 0,000 asistencias por partido
Milan_Badelj (LIB), 0 asistencias, 0,000 asistencias por partido
Derdiyok (LIB), 0 asistencias, 0,000 asistencias por partido
Ched_Evans (LIB), 0 asistencias, 0,000 asistencias por partido
Josip_Drmic (LIB), 0 asistencias, 0,000 asistencias por partido
S_Cristóforo (LIB), 0 asistencias, 0,000 asistencias por partido
Rafinha_Alc (BAR), 0 asistencias, 0,000 asistencias por partido
Erik_Durm (BDO), 0 asistencias, 0,000 asistencias por partido
C_Lenglet (SEV), 0 asistencias, 0,000 asistencias por partido
G_Castro (BDO), 0 asistencias, 0,000 asistencias por partido
Juraj_Kucka (MIL), 0 asistencias, 0,000 asistencias por partido
Sven_Bender (BDO), 0 asistencias, 0,000 asistencias por partido
Dennis_Aogo (S04), 0 asistencias, 0,000 asistencias por partido
C_Maggio (NAP), 0 asistencias, 0,000 asistencias por partido
Juan_Jesus (ROM), 0 asistencias, 0,000 asistencias por partido
Á_González (VIL), 0 asistencias, 0,000 asistencias por partido
M_Yanga-Mbiwa (LYO), 0 asistencias, 0,000 asistencias por partido
G_Paletta (MIL), 0 asistencias, 0,000 asistencias por partido
M_Hermes (SLB), 0 asistencias, 0,000 asistencias por partido
R_Montolivo (MIL), 0 asistencias, 0,000 asistencias por partido
A_Bertolacci (MIL), 0 asistencias, 0,000 asistencias por partido
Marc_Bartra (BDO), 0 asistencias, 0,000 asistencias por partido
C_Zapata (MIL), 0 asistencias, 0,000 asistencias por partido
D_Amartey (LEI), 0 asistencias, 0,000 asistencias por partido
Allan (NAP), 0 asistencias, 0,000 asistencias por partido
G_Siqueira (VAL), 0 asistencias, 0,000 asistencias por partido
D_Carriço (SEV), 0 asistencias, 0,000 asistencias por partido
C_Jallet (LYO), 0 asistencias, 0,000 asistencias por partido
Johannes_Geis (S04), 0 asistencias, 0,000 asistencias por partido
Tiago (ATM), 0 asistencias, 0,000 asistencias por partido
G_Krychowiak (RMA), 0 asistencias, 0,000 asistencias por partido
M_de_Ligt (AJX), 0 asistencias, 0,000 asistencias por partido
Davide_Santon (INT), 0 asistencias, 0,000 asistencias por partido
Yuto_Nagatomo (INT), 0 asistencias, 0,000 asistencias por partido
T_Sainsbury (INT), 0 asistencias, 0,000 asistencias por partido
D_Criscito (NAP), 0 asistencias, 0,000 asistencias por partido
L_Bonucci (JUV), 0 asistencias, 0,000 asistencias por partido
Dante (NIC), 0 asistencias, 0,000 asistencias por partido
B_Höwedes (S04), 0 asistencias, 0,000 asistencias por partido
Jonathan_Tah (BLE), 0 asistencias, 0,000 asistencias por partido
Danny_Simpson (LEI), 0 asistencias, 0,000 asistencias por partido
Joe_Gomez (LIV), 0 asistencias, 0,000 asistencias por partido
Mateo_Kovacic (RMA), 0 asistencias, 0,000 asistencias por partido
D_Schwaab (PSV), 0 asistencias, 0,000 asistencias por partido
R_Pereira (NIC), 0 asistencias, 0,000 asistencias por partido
Gary_Medel (INT), 0 asistencias, 0,000 asistencias por partido
Pedro_Pereira (AJX), 0 asistencias, 0,000 asistencias por partido
N_Maksimovic (OPO), 0 asistencias, 0,000 asistencias por partido
N_Otamendi (MCI), 0 asistencias, 0,000 asistencias por partido
C_Smalling (JUV), 0 asistencias, 0,000 asistencias por partido
Mario_Suárez (VAL), 0 asistencias, 0,000 asistencias por partido
Nacho_F (OPO), 0 asistencias, 0,000 asistencias por partido
Rod_Fanni (OMA), 0 asistencias, 0,000 asistencias por partido
Robert_Huth (LEI), 0 asistencias, 0,000 asistencias por partido
Sergio_Ramos (RMA), 0 asistencias, 0,000 asistencias por partido
C_Azpilicueta (CHE), 0 asistencias, 0,000 asistencias por partido
G_Chiellini (JUV), 0 asistencias, 0,000 asistencias por partido
Isimat-Mirin (PSV), 0 asistencias, 0,000 asistencias por partido
André_Almeida (SLB), 0 asistencias, 0,000 asistencias por partido
L_López (SLB), 0 asistencias, 0,000 asistencias por partido
Lucas_Leiva (LIV), 0 asistencias, 0,000 asistencias por partido
Niklas_Süle (NIC), 0 asistencias, 0,000 asistencias por partido
F_Fazio (ROM), 0 asistencias, 0,000 asistencias por partido
Héctor_Moreno (PSV), 0 asistencias, 0,000 asistencias por partido
E_Mammana (LYO), 0 asistencias, 0,000 asistencias por partido
Eric_Bailly (MUN), 0 asistencias, 0,000 asistencias por partido
Jardel (SLB), 0 asistencias, 0,000 asistencias por partido
Joel_Matip (LIV), 0 asistencias, 0,000 asistencias por partido
Alderweireld (TOT), 0 asistencias, 0,000 asistencias por partido
L_Fejsa (SLB), 0 asistencias, 0,000 asistencias por partido
Dejan_Lovren (LIV), 0 asistencias, 0,000 asistencias por partido
Gerard_Piqué (BAR), 0 asistencias, 0,000 asistencias por partido
A_Samaris (SLB), 0 asistencias, 0,000 asistencias por partido
Onyinye_Ndidi (BMU), 0 asistencias, 0,000 asistencias por partido
Schneiderlin (EVE), 0 asistencias, 0,000 asistencias por partido
Lucas_Tousart (LYO), 0 asistencias, 0,000 asistencias por partido
V_Yurchenko (BLE), 0 asistencias, 0,000 asistencias por partido
D_Bocanegra (LIB), 0 asistencias, 0,000 asistencias por partido
Nuri_Sahin (BDO), 0 asistencias, 0,000 asistencias por partido
Andy_King (LEI), 0 asistencias, 0,000 asistencias por partido
A_Diawara (NAP), 0 asistencias, 0,000 asistencias por partido
C_Kramer (S04), 0 asistencias, 0,000 asistencias por partido
A_Valencia (MUN), 0 asistencias, 0,000 asistencias por partido
Dani_Alves (JUV), 0 asistencias, 0,000 asistencias por partido
B_Trémoulinas (SEV), 0 asistencias, 0,000 asistencias por partido
D_Pereira (BAR), 0 asistencias, 0,000 asistencias por partido
Tom_Lawrence (LIB), 0 asistencias, 0,000 asistencias por partido
Dalbert (NIC), 0 asistencias, 0,000 asistencias por partido
Darijo_Srna (LIB), 0 asistencias, 0,000 asistencias por partido
M_Kranevitter (SEV), 0 asistencias, 0,000 asistencias por partido
T_Bakayoko (ASM), 0 asistencias, 0,000 asistencias por partido
Thomás_Rincón (JUV), 0 asistencias, 0,000 asistencias por partido
V_Claesson (LIB), 0 asistencias, 0,000 asistencias por partido
A_Souquet (NIC), 0 asistencias, 0,000 asistencias por partido
Luke_Garbutt (EVE), 0 asistencias, 0,000 asistencias por partido
Patrice_Evra (OMA), 0 asistencias, 0,000 asistencias por partido
Mario_Gaspar (VIL), 0 asistencias, 0,000 asistencias por partido
S_Magnasco (LIB), 0 asistencias, 0,000 asistencias por partido
G_Fernandes (LIB), 0 asistencias, 0,000 asistencias por partido
Joe_Ledley (LIB), 0 asistencias, 0,000 asistencias por partido
K_Maczynski (LIB), 0 asistencias, 0,000 asistencias por partido
Quincy_Promes (LIB), 0 asistencias, 0,000 asistencias por partido
Karol_Linetty (LIB), 0 asistencias, 0,000 asistencias por partido
Ludwig_A (LIB), 0 asistencias, 0,000 asistencias por partido
Emil_Krafth (LIB), 0 asistencias, 0,000 asistencias por partido
K_Asamoah (JUV), 0 asistencias, 0,000 asistencias por partido
Michael_Lang (LIB), 0 asistencias, 0,000 asistencias por partido
Pablo_Sarabia (SEV), 0 asistencias, 0,000 asistencias por partido
Veli_Kavlak (LIB), 0 asistencias, 0,000 asistencias por partido
Jesús_Molina (LIB), 0 asistencias, 0,000 asistencias por partido
A_Z_Anguissa (OMA), 0 asistencias, 0,000 asistencias por partido
Ignazio_Abate (MIL), 0 asistencias, 0,000 asistencias por partido
Nathan_Aké (CHE), 0 asistencias, 0,000 asistencias por partido
M_Diakhaby (LYO), 0 asistencias, 0,000 asistencias por partido
Kevin_Wimmer (TOT), 0 asistencias, 0,000 asistencias por partido
A_Rüdiger (ROM), 0 asistencias, 0,000 asistencias por partido
Sokratis (BDO), 0 asistencias, 0,000 asistencias por partido
J_Boateng (BMU), 0 asistencias, 0,000 asistencias por partido
D_Cotterill (LIB), 0 asistencias, 0,000 asistencias por partido
S_Ilsanker (LIB), 0 asistencias, 0,000 asistencias por partido
A_Nura (ROM), 0 asistencias, 0,000 asistencias por partido
Neil_Taylor (LIB), 0 asistencias, 0,000 asistencias por partido
Fernando (MCI), 0 asistencias, 0,000 asistencias por partido
C_Salcedo (LIB), 0 asistencias, 0,000 asistencias por partido
F_Coentrão (BMU), 0 asistencias, 0,000 asistencias por partido
S_Widmwer (LIB), 0 asistencias, 0,000 asistencias por partido
Florian_Klein (LIB), 0 asistencias, 0,000 asistencias por partido
É_Gutiérrez (LIB), 0 asistencias, 0,000 asistencias por partido
Simon_Hedlund (LIB), 0 asistencias, 0,000 asistencias por partido
M_Suttner (LIB), 0 asistencias, 0,000 asistencias por partido
Demarai_Gray (LEI), 0 asistencias, 0,000 asistencias por partido
Jack_Wilshere (LIB), 0 asistencias, 0,000 asistencias por partido
Carlos_Sáncez (LIB), 0 asistencias, 0,000 asistencias por partido
Gonzalo_Jara (LIB), 0 asistencias, 0,000 asistencias por partido
M_Albornoz (LIB), 0 asistencias, 0,000 asistencias por partido
L_Hernández (ARS), 0 asistencias, 0,000 asistencias por partido
M_Ginter (BDO), 0 asistencias, 0,000 asistencias por partido
Jorge (ASM), 0 asistencias, 0,000 asistencias por partido
S_Kolasinac (S04), 0 asistencias, 0,000 asistencias por partido
N_Pareja (SEV), 0 asistencias, 0,000 asistencias por partido
N_N'Koulou (LYO), 0 asistencias, 0,000 asistencias por partido
L_Tonelli (NAP), 0 asistencias, 0,000 asistencias por partido
R_Funes_Mori (EVE), 0 asistencias, 0,000 asistencias por partido
Aleix_Vidal (BAR), 0 asistencias, 0,000 asistencias por partido
Wes_Morgan (LEI), 0 asistencias, 0,000 asistencias por partido
M_Andreolli (INT), 0 asistencias, 0,000 asistencias por partido
Gustavo_Gómez (SLB), 0 asistencias, 0,000 asistencias por partido
José_Giménez (ATM), 0 asistencias, 0,000 asistencias por partido
David_Luiz (CHE), 0 asistencias, 0,000 asistencias por partido
Felipe (OPO), 0 asistencias, 0,000 asistencias por partido
A_Barzagli (JUV), 0 asistencias, 0,000 asistencias por partido
Jesús_Vallejo (OPO), 0 asistencias, 0,000 asistencias por partido
Mariano (SEV), 0 asistencias, 0,000 asistencias por partido
Kamil_Glik (ASM), 0 asistencias, 0,000 asistencias por partido
E_Garay (VAL), 0 asistencias, 0,000 asistencias por partido
Gary_Cahill (CHE), 0 asistencias, 0,000 asistencias por partido
A_Williams (EVE), 0 asistencias, 0,000 asistencias por partido
D_Sánchez (MUN), 0 asistencias, 0,000 asistencias por partido
Malang_Sarr (AJX), 0 asistencias, 0,000 asistencias por partido
Naldo (S04), 0 asistencias, 0,000 asistencias por partido
Jorge_Meré (AJX), 0 asistencias, 0,000 asistencias por partido
K_Koulibaly (NAP), 0 asistencias, 0,000 asistencias por partido
Iñigo_Mtnez (SEV), 0 asistencias, 0,000 asistencias por partido
Molla_Wague (LEI), 0 asistencias, 0,000 asistencias por partido
Jemerson (ASM), 0 asistencias, 0,000 asistencias por partido
H_Badstuber (S04), 0 asistencias, 0,000 asistencias por partido
Paul_Baysse (NIC), 0 asistencias, 0,000 asistencias por partido
P_Mertesacker (ARS), 0 asistencias, 0,000 asistencias por partido
M_Nastasic (S04), 0 asistencias, 0,000 asistencias por partido
T_Vermaelen (ROM), 0 asistencias, 0,000 asistencias por partido
V_Lindelöf (MIL), 0 asistencias, 0,000 asistencias por partido
D_Rugani (JUV), 0 asistencias, 0,000 asistencias por partido
M_Caceres (LIB), 0 asistencias, 0,000 asistencias por partido
Jeffrey_Bruma (LIB), 0 asistencias, 0,000 asistencias por partido
Y_Benalouane (LEI), 0 asistencias, 0,000 asistencias por partido
Rolando (OMA), 0 asistencias, 0,000 asistencias por partido
K_Manolas (ROM), 0 asistencias, 0,000 asistencias por partido
A_Laporte (NIC), 0 asistencias, 0,000 asistencias por partido
E_Bergstrom (LIB), 0 asistencias, 0,000 asistencias por partido
Stefan_Savic (ATM), 0 asistencias, 0,000 asistencias por partido
Menno_Koch (PSV), 0 asistencias, 0,000 asistencias por partido
Phil_Jones (MUN), 0 asistencias, 0,000 asistencias por partido
J_Mathieu (BAR), 0 asistencias, 0,000 asistencias por partido
Andrea_Raggi (ASM), 0 asistencias, 0,000 asistencias por partido
P_Kimpembe (PSG), 0 asistencias, 0,000 asistencias por partido
G_Paulista (OPO), 0 asistencias, 0,000 asistencias por partido
V_Chiriches (BAR), 0 asistencias, 0,000 asistencias por partido
Fede_Ricca (LIB), 0 asistencias, 0,000 asistencias por partido
Chris_Gunter (LIB), 0 asistencias, 0,000 asistencias por partido
Emiliano_V (LIB), 0 asistencias, 0,000 asistencias por partido
S_de_Vrij (LIB), 0 asistencias, 0,000 asistencias por partido
Michal_Pazdan (LIB), 0 asistencias, 0,000 asistencias por partido
R_Shawcross (LIB), 0 asistencias, 0,000 asistencias por partido
M_Pennington (EVE), 0 asistencias, 0,000 asistencias por partido
Karim_Rekik (OMA), 0 asistencias, 0,000 asistencias por partido
A_Santos (VAL), 0 asistencias, 0,000 asistencias por partido
Adil_Rami (SEV), 0 asistencias, 0,000 asistencias por partido
Sebas_Coates (RMA), 0 asistencias, 0,000 asistencias por partido
Abdou_Diallo (ASM), 0 asistencias, 0,000 asistencias por partido
Ragnar_Klavan (LIV), 0 asistencias, 0,000 asistencias por partido
J_Djourou (LIB), 0 asistencias, 0,000 asistencias por partido
James_Chester (LIB), 0 asistencias, 0,000 asistencias por partido
F_Helander (LIB), 0 asistencias, 0,000 asistencias por partido
B_Espinosa (LIB), 0 asistencias, 0,000 asistencias por partido
Emre_Can (LIV), 0 asistencias, 0,000 asistencias por partido
César_Montes (LIB), 0 asistencias, 0,000 asistencias por partido
V_Corluka (LIB), 0 asistencias, 0,000 asistencias por partido
J_Riedewald (BDO), 0 asistencias, 0,000 asistencias por partido
Nico_Elvedi (LIB), 0 asistencias, 0,000 asistencias por partido
Bruno_M_Indi (LIB), 0 asistencias, 0,000 asistencias por partido
Eloge_Yao (INT), 0 asistencias, 0,000 asistencias por partido
L_De_Bock (LIB), 0 asistencias, 0,000 asistencias por partido
Néstor_Araujo (LIB), 0 asistencias, 0,000 asistencias por partido
Gonzalo_Rguez (LIB), 0 asistencias, 0,000 asistencias por partido
N_Lombaerts (LIB), 0 asistencias, 0,000 asistencias por partido
Fabin_Schar (LIB), 0 asistencias, 0,000 asistencias por partido
P_Jansson (LIB), 0 asistencias, 0,000 asistencias por partido
Paul_Dummett (LIB), 0 asistencias, 0,000 asistencias por partido
Ivan_Strinic (OPO), 0 asistencias, 0,000 asistencias por partido
M_Krohn-Dehli (SEV), 0 asistencias, 0,000 asistencias por partido
Jason_Denayer (LIB), 0 asistencias, 0,000 asistencias por partido
M_Ángel_Moyá (ATM), 0 asistencias, 0,000 asistencias por partido
J_Doménech (VAL), 0 asistencias, 0,000 asistencias por partido
Marco_Storari (MIL), 0 asistencias, 0,000 asistencias por partido
Neto (JUV), 0 asistencias, 0,000 asistencias por partido
Tomas_Hubocan (OMA), 0 asistencias, 0,000 asistencias por partido
José_Fonte (LIB), 0 asistencias, 0,000 asistencias por partido
Enzo_Roco (LIB), 0 asistencias, 0,000 asistencias por partido
Éder_Balanta (LIB), 0 asistencias, 0,000 asistencias por partido
J-P_Mateta (LYO), 0 asistencias, 0,000 asistencias por partido
D_C-Lewin (EVE), 0 asistencias, 0,000 asistencias por partido
G_Carrillo (ASM), 0 asistencias, 0,000 asistencias por partido
Timm_Klose (LIB), 0 asistencias, 0,000 asistencias por partido
G_Pezzella (LIB), 0 asistencias, 0,000 asistencias por partido
Hrvoje_Milic (LIB), 0 asistencias, 0,000 asistencias por partido
M_Arnautovic (LIB), 0 asistencias, 0,000 asistencias por partido
A_Halilovic (LIB), 0 asistencias, 0,000 asistencias por partido
J_Durmaz (LIB), 0 asistencias, 0,000 asistencias por partido
B_Hrgota (LIB), 0 asistencias, 0,000 asistencias por partido
M_Barbosa (VIL), 0 asistencias, 0,000 asistencias por partido
S_Prödl (LIB), 0 asistencias, 0,000 asistencias por partido
M_Hinteregger (LIB), 0 asistencias, 0,000 asistencias por partido
Andreas_Ulmer (LIB), 0 asistencias, 0,000 asistencias por partido
Mateusz_Klich (LIB), 0 asistencias, 0,000 asistencias por partido
Muhamed_Besic (EVE), 0 asistencias, 0,000 asistencias por partido
Paul_Aguilar (LIB), 0 asistencias, 0,000 asistencias por partido
James_Collins (LIB), 0 asistencias, 0,000 asistencias por partido
V_Behrami (LIB), 0 asistencias, 0,000 asistencias por partido
Gokham_Inler (LIB), 0 asistencias, 0,000 asistencias por partido
T_Barnetta (LIB), 0 asistencias, 0,000 asistencias por partido
S_Alberto (PSV), 0 asistencias, 0,000 asistencias por partido
C_Randall (LIV), 0 asistencias, 0,000 asistencias por partido
L_Castán (LIB), 0 asistencias, 0,000 asistencias por partido
P_Olkowski (LIB), 0 asistencias, 0,000 asistencias por partido
L_Teodorczyk (LIB), 0 asistencias, 0,000 asistencias por partido
Joo-Ho_Park (BDO), 0 asistencias, 0,000 asistencias por partido
Igor_Lewczuk (LIB), 0 asistencias, 0,000 asistencias por partido
N_Viergever (AJX), 0 asistencias, 0,000 asistencias por partido
A_Rabillard (OMA), 0 asistencias, 0,000 asistencias por partido
M_Cauteruccio (LIB), 0 asistencias, 0,000 asistencias por partido
W_Caballero (MCI), 0 asistencias, 0,000 asistencias por partido
Ola_Aina (CHE), 0 asistencias, 0,000 asistencias por partido
David_Soria (SEV), 0 asistencias, 0,000 asistencias por partido
C_Trimmel (LIB), 0 asistencias, 0,000 asistencias por partido
